"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Sales volume New build","Pivotable date"
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-04,,quarterly,,1968-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-04,,quarterly,,1968-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-05,,quarterly,,1968-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-05,,quarterly,,1968-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-06,,quarterly,,1968-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-06,,quarterly,,1968-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-07,,quarterly,,1968-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-07,,quarterly,,1968-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-08,,quarterly,,1968-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-08,,quarterly,,1968-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-09,,quarterly,,1968-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-09,,quarterly,,1968-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-10,,quarterly,,1968-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-10,,quarterly,,1968-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-11,,quarterly,,1968-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-11,,quarterly,,1968-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1968-12,,quarterly,,1968-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1968-12,,quarterly,,1968-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-01,,quarterly,,1969-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-01,,quarterly,,1969-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-02,,quarterly,,1969-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-02,,quarterly,,1969-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-03,,quarterly,,1969-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-03,,quarterly,,1969-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-04,,quarterly,,1969-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-04,,quarterly,,1969-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-05,,quarterly,,1969-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-05,,quarterly,,1969-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-06,,quarterly,,1969-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-06,,quarterly,,1969-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-07,,quarterly,,1969-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-07,,quarterly,,1969-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-08,,quarterly,,1969-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-08,,quarterly,,1969-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-09,,quarterly,,1969-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-09,,quarterly,,1969-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-10,,quarterly,,1969-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-10,,quarterly,,1969-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-11,,quarterly,,1969-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-11,,quarterly,,1969-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1969-12,,quarterly,,1969-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1969-12,,quarterly,,1969-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-01,,quarterly,,1970-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-01,,quarterly,,1970-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-02,,quarterly,,1970-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-02,,quarterly,,1970-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-03,,quarterly,,1970-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-03,,quarterly,,1970-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-04,,quarterly,,1970-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-04,,quarterly,,1970-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-05,,quarterly,,1970-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-05,,quarterly,,1970-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-06,,quarterly,,1970-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-06,,quarterly,,1970-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-07,,quarterly,,1970-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-07,,quarterly,,1970-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-08,,quarterly,,1970-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-08,,quarterly,,1970-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-09,,quarterly,,1970-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-09,,quarterly,,1970-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-10,,quarterly,,1970-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-10,,quarterly,,1970-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-11,,quarterly,,1970-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-11,,quarterly,,1970-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-12,,quarterly,,1970-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-12,,quarterly,,1970-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-01,,quarterly,,1971-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-01,,quarterly,,1971-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-02,,quarterly,,1971-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-02,,quarterly,,1971-02-01
